Date,total,people,integrations
20160719 (Tuesday),86,76,10
20160720 (Wednesday),245,231,14
20160721 (Thursday),85,80,5
20160722 (Friday),98,75,23
20160723 (Saturday),4,2,2
20160724 (Sunday),4,4,0
20160725 (Monday),105,100,5
20160726 (Tuesday),64,58,6
20160727 (Wednesday),114,96,18
20160728 (Thursday),58,18,40
20160729 (Friday),121,52,69
20160730 (Saturday),41,3,38
20160731 (Sunday),4,0,4
20160801 (Monday),103,93,10
20160802 (Tuesday),124,112,12
20160803 (Wednesday),100,92,8
20160804 (Thursday),245,151,94
20160805 (Friday),51,39,12
20160806 (Saturday),6,1,5
20160807 (Sunday),15,13,2
20160808 (Monday),67,51,16
20160809 (Tuesday),49,42,7
20160810 (Wednesday),81,71,10
20160811 (Thursday),235,229,6
20160812 (Friday),157,146,11
20160813 (Saturday),10,7,3
20160814 (Sunday),5,4,1
20160815 (Monday),205,192,13
20160816 (Tuesday),140,137,3
20160817 (Wednesday),209,203,6
20160818 (Thursday),128,122,6
20160819 (Friday),150,116,34
20160820 (Saturday),1,0,1
20160821 (Sunday),1,0,1
20160822 (Monday),92,85,7
20160823 (Tuesday),16,12,4
20160824 (Wednesday),30,20,10
20160825 (Thursday),23,20,3
20160826 (Friday),91,80,11
20160827 (Saturday),1,0,1
20160828 (Sunday),1,0,1
20160829 (Monday),100,90,10
20160830 (Tuesday),26,23,3
20160831 (Wednesday),86,75,11
20160901 (Thursday),207,194,13
20160902 (Friday),15,12,3
20160903 (Saturday),1,0,1
20160904 (Sunday),3,2,1
20160905 (Monday),55,52,3
20160906 (Tuesday),102,92,10
20160907 (Wednesday),115,99,16
20160908 (Thursday),118,107,11
20160909 (Friday),56,22,34
20160910 (Saturday),9,6,3
20160911 (Sunday),3,2,1
20160912 (Monday),40,30,10
20160913 (Tuesday),105,91,14
20160914 (Wednesday),97,67,30
20160915 (Thursday),107,98,9
20160916 (Friday),63,55,8
20160917 (Saturday),8,7,1
20160918 (Sunday),20,16,4
